date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:17:46	148000/148000	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Jul%202025%2001:17:48%20GMT	https://www.goodsalonguide.com/salons/kay-and-kompany	C:/Users/philip%20godwin/Desktop/goddy/aahttps___www.goodsalonguide.com_salons_kay-and-kompany/www.goodsalonguide.com/salons/kay-and-kompany.html	(from )
18:17:46	688/688	---MCZ	200	added ('OK')	text/plain	etag:W/%2267ff7a57-7eb%22	https://www.goodsalonguide.com/robots.txt		(from )
18:17:47	9646/9646	---MCZ	200	added ('OK')	text/css	etag:W/%226840a91c-25ae%22	https://www.goodsalonguide.com/sites/default/files/css/css_x37rEUPa-LwJHmHqI1JsUq0KuEbQzpsInYEWBA4i2gU.css?delta=0&language=en&theme=gsg&include=eJxFTluOwyAMvBAbjoQc8BJagyMPtKWnb9Qouz_z_JiJd06lqwWKUS0Vbf5PLb-mrXNLLgoB068EvnRlgDLj8k3T0amxTzZ2koVu9DqDplZJyvvoB7rWACaLmz8prPoKEXAZ2WfRleQHfUpp2QlNHT2kgqgPtum1cVRxOxllo33DtfafLKPtY5WCjZPDROd6Hn8UfsJ_camahvAHEtBjHw	C:/Users/philip%20godwin/Desktop/goddy/aahttps___www.goodsalonguide.com_salons_kay-and-kompany/www.goodsalonguide.com/sites/default/files/css/css_x37rEUPa-LwJHmHqI1JsUq0KuEbQzpsInYEWBA4i2gU87e7.css	(from https://www.goodsalonguide.com/salons/kay-and-kompany)
18:17:47	238667/238667	---MCZ	200	added ('OK')	text/css	etag:W/%2268407d82-3a44b%22	https://www.goodsalonguide.com/sites/default/files/css/css_sNjbMdw90vc4HmSzh22MaYBhr_IV8mt_HN_ni158dP0.css?delta=1&language=en&theme=gsg&include=eJxFTluOwyAMvBAbjoQc8BJagyMPtKWnb9Qouz_z_JiJd06lqwWKUS0Vbf5PLb-mrXNLLgoB068EvnRlgDLj8k3T0amxTzZ2koVu9DqDplZJyvvoB7rWACaLmz8prPoKEXAZ2WfRleQHfUpp2QlNHT2kgqgPtum1cVRxOxllo33DtfafLKPtY5WCjZPDROd6Hn8UfsJ_camahvAHEtBjHw	C:/Users/philip%20godwin/Desktop/goddy/aahttps___www.goodsalonguide.com_salons_kay-and-kompany/www.goodsalonguide.com/sites/default/files/css/css_sNjbMdw90vc4HmSzh22MaYBhr_IV8mt_HN_ni158dP0c76b.css	(from https://www.goodsalonguide.com/salons/kay-and-kompany)
18:17:47	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2016%20Jul%202025%2001:17:50%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/philip%20godwin/Desktop/goddy/aahttps___www.goodsalonguide.com_salons_kay-and-kompany/www.googletagmanager.com/gtm.35445.delayed	(from https://www.goodsalonguide.com/salons/kay-and-kompany)
18:17:48	380213/380213	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2029%20Apr%202025%2017:16:22%20GMT	https://unpkg.com/@lottiefiles/lottie-player@2.0.4/dist/lottie-player.js	C:/Users/philip%20godwin/Desktop/goddy/aahttps___www.goodsalonguide.com_salons_kay-and-kompany/unpkg.com/@lottiefiles/lottie-player@2.0.4/dist/lottie-player.js	(from https://www.goodsalonguide.com/salons/kay-and-kompany)
18:17:49	24767/24767	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Jul%202025%2001:17:51%20GMT	https://www.goodsalonguide.com/salons/transparent	C:/Users/philip%20godwin/Desktop/goddy/aahttps___www.goodsalonguide.com_salons_kay-and-kompany/www.goodsalonguide.com/salons/transparent	(from https://www.goodsalonguide.com/salons/kay-and-kompany)
18:17:49	45562/45562	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jul%202025%2010:10:15%20GMT	https://www.goodsalonguide.com/sites/default/files/styles/teaser/public/the_gallager_hob_body.jpg?h=1c337bd5&itok=_YvDML_r	C:/Users/philip%20godwin/Desktop/goddy/aahttps___www.goodsalonguide.com_salons_kay-and-kompany/www.goodsalonguide.com/sites/default/files/styles/teaser/public/the_gallager_hob_body472d.jpg	(from https://www.goodsalonguide.com/salons/kay-and-kompany)
18:17:50	25626/25626	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jul%202025%2009:45:03%20GMT	https://www.goodsalonguide.com/sites/default/files/styles/teaser/public/tool_finder_body1.jpg?h=19676f28&itok=-hIghIDI	C:/Users/philip%20godwin/Desktop/goddy/aahttps___www.goodsalonguide.com_salons_kay-and-kompany/www.goodsalonguide.com/sites/default/files/styles/teaser/public/tool_finder_body1a7bc.jpg	(from https://www.goodsalonguide.com/salons/kay-and-kompany)
18:17:50	30894/30894	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jul%202025%2009:33:41%20GMT	https://www.goodsalonguide.com/sites/default/files/styles/teaser/public/ghd_chronos_body2_0.jpg?h=19676f28&itok=9qC45A2b	C:/Users/philip%20godwin/Desktop/goddy/aahttps___www.goodsalonguide.com_salons_kay-and-kompany/www.goodsalonguide.com/sites/default/files/styles/teaser/public/ghd_chronos_body2_0095b.jpg	(from https://www.goodsalonguide.com/salons/kay-and-kompany)
